Root node created. Lower Bound: 96
Path: 0 2 8 5 | Lower Bound: 52
Path: 0 2 8 6 | Lower Bound: 52
Path: 0 2 8 7 | Lower Bound: 52
Path: 0 2 8 9 | Lower Bound: 51
Path: 0 7 4 1 | Lower Bound: 38
Path: 0 7 4 2 | Lower Bound: 36
Path: 0 7 4 3 | Lower Bound: 42
Path: 0 7 4 5 | Lower Bound: 34
Path: 0 7 4 6 | Lower Bound: 38
Path: 0 7 4 8 | Lower Bound: 49
Path: 0 7 4 9 | Lower Bound: 38
Path: 0 7 2 3 1 | Lower Bound: 41
Path: 0 7 2 3 4 | Lower Bound: 44
Path: 0 7 2 3 5 | Lower Bound: 45
Path: 0 7 2 3 6 | Lower Bound: 52
Path: 0 7 2 3 8 | Lower Bound: 45
Path: 0 7 2 3 9 | Lower Bound: 43
Path: 0 1 3 2 | Lower Bound: 36
Path: 0 1 3 4 | Lower Bound: 43
Path: 0 1 3 5 | Lower Bound: 41
Path: 0 1 3 6 | Lower Bound: 50
Path: 0 1 3 7 | Lower Bound: 42
Path: 0 1 3 8 | Lower Bound: 37
Path: 0 1 3 9 | Lower Bound: 44
Path: 0 6 7 1 | Lower Bound: 51
Path: 0 6 7 2 | Lower Bound: 43
Path: 0 6 7 3 | Lower Bound: 47
Path: 0 6 7 4 | Lower Bound: 42
Path: 0 6 7 5 | Lower Bound: 41
Path: 0 6 7 8 | Lower Bound: 43
Path: 0 6 7 9 | Lower Bound: 46
Path: 0 6 5 4 1 | Lower Bound: 44
Path: 0 6 5 4 2 | Lower Bound: 41
Path: 0 6 5 4 3 | Lower Bound: 51
Path: 0 6 5 4 7 | Lower Bound: 49
Path: 0 6 5 4 8 | Lower Bound: 46
Path: 0 6 5 4 9 | Lower Bound: 43
Path: 0 7 1 2 | Lower Bound: 47
Path: 0 7 1 3 | Lower Bound: 39
Path: 0 7 1 4 | Lower Bound: 47
Path: 0 7 1 5 | Lower Bound: 48
Path: 0 7 1 6 | Lower Bound: 50
Path: 0 7 1 8 | Lower Bound: 41
Path: 0 7 1 9 | Lower Bound: 50
Path: 0 7 9 1 | Lower Bound: 39
Path: 0 7 9 2 | Lower Bound: 46
Path: 0 7 9 3 | Lower Bound: 47
Path: 0 7 9 4 | Lower Bound: 48
Path: 0 7 9 5 | Lower Bound: 50
Path: 0 7 9 6 | Lower Bound: 50
Path: 0 7 9 8 | Lower Bound: 48
Path: 0 7 8 1 | Lower Bound: 44
Path: 0 7 8 2 | Lower Bound: 48
Path: 0 7 8 3 | Lower Bound: 34
Path: 0 7 8 4 | Lower Bound: 43
Path: 0 7 8 5 | Lower Bound: 47
Path: 0 7 8 6 | Lower Bound: 39
Path: 0 7 8 9 | Lower Bound: 44
Path: 0 8 4 1 | Lower Bound: 42
Path: 0 8 4 2 | Lower Bound: 39
Path: 0 8 4 3 | Lower Bound: 46
Path: 0 8 4 5 | Lower Bound: 41
Path: 0 8 4 6 | Lower Bound: 45
Path: 0 8 4 7 | Lower Bound: 58
Path: 0 8 4 9 | Lower Bound: 41
Path: 0 2 4 1 | Lower Bound: 44
Path: 0 2 4 3 | Lower Bound: 48
Path: 0 2 4 5 | Lower Bound: 38
Path: 0 2 4 6 | Lower Bound: 46
Path: 0 2 4 7 | Lower Bound: 49
Path: 0 2 4 8 | Lower Bound: 43
Path: 0 2 4 9 | Lower Bound: 41
Path: 0 7 2 9 1 | Lower Bound: 40
Path: 0 7 2 9 3 | Lower Bound: 44
Path: 0 7 2 9 4 | Lower Bound: 49
Path: 0 7 2 9 5 | Lower Bound: 53
Path: 0 7 2 9 6 | Lower Bound: 51
Path: 0 7 2 9 8 | Lower Bound: 47
Path: 0 8 1 2 | Lower Bound: 50
Path: 0 8 1 3 | Lower Bound: 41
Path: 0 8 1 4 | Lower Bound: 50
Path: 0 8 1 5 | Lower Bound: 50
Path: 0 8 1 6 | Lower Bound: 50
